service_id,date,exception_type
0,20150818,1
Na,20150818,1
Sf,20150818,1
0,20150819,1
Na,20150819,1
Sf,20150819,1
0,20150820,1
Na,20150820,1
Sf,20150820,1
0,20150821,1
Na,20150821,1
Sf,20150821,1
Fa,20150821,1
Yr,20150821,1
2,20150822,1
Nb,20150823,1
3,20150823,1
0,20150824,1
Na,20150824,1
Sf,20150824,1
0,20150825,1
Na,20150825,1
Sf,20150825,1
0,20150826,1
Na,20150826,1
Sf,20150826,1
0,20150827,1
Na,20150827,1
Sf,20150827,1
0,20150828,1
Na,20150828,1
Sf,20150828,1
Fa,20150828,1
Yr,20150828,1
2,20150829,1
Nb,20150830,1
3,20150830,1
0,20150831,1
Na,20150831,1
Sf,20150831,1
0,20150901,1
Na,20150901,1
Sf,20150901,1
0,20150902,1
Na,20150902,1
Sf,20150902,1
0,20150903,1
Na,20150903,1
Sf,20150903,1
0,20150904,1
Na,20150904,1
Sf,20150904,1
Fa,20150904,1
Yr,20150904,1
2,20150905,1
Nb,20150906,1
3,20150906,1
0,20150907,1
Na,20150907,1
Sf,20150907,1
0,20150908,1
Na,20150908,1
Sf,20150908,1
0,20150909,1
Na,20150909,1
Sf,20150909,1
0,20150910,1
Na,20150910,1
Sf,20150910,1
0,20150911,1
Na,20150911,1
Sf,20150911,1
Fa,20150911,1
Yr,20150911,1
2,20150912,1
Nb,20150913,1
3,20150913,1
0,20150914,1
Ss,20150914,1
Na,20150914,1
0,20150915,1
Ss,20150915,1
Na,20150915,1
0,20150916,1
Ss,20150916,1
Na,20150916,1
0,20150917,1
Ss,20150917,1
Na,20150917,1
0,20150918,1
Ss,20150918,1
Na,20150918,1
Fa,20150918,1
Yr,20150918,1
2,20150919,1
Nb,20150920,1
3,20150920,1
0,20150921,1
Ss,20150921,1
Na,20150921,1
0,20150922,1
Ss,20150922,1
Na,20150922,1
0,20150923,1
Ss,20150923,1
Na,20150923,1
0,20150924,1
Ss,20150924,1
Na,20150924,1
0,20150925,1
Ss,20150925,1
Na,20150925,1
Fa,20150925,1
Yr,20150925,1
2,20150926,1
Nb,20150927,1
3,20150927,1
0,20150928,1
Ss,20150928,1
Na,20150928,1
0,20150929,1
Ss,20150929,1
Na,20150929,1
0,20150930,1
Ss,20150930,1
Na,20150930,1
0,20151001,1
Ss,20151001,1
Na,20151001,1
0,20151002,1
Ss,20151002,1
Na,20151002,1
Fa,20151002,1
Yr,20151002,1
3,20151003,1
Ys,20151003,1
Nb,20151004,1
3,20151004,1
0,20151005,1
Ss,20151005,1
Na,20151005,1
0,20151006,1
Ss,20151006,1
Na,20151006,1
0,20151007,1
Ss,20151007,1
Na,20151007,1
0,20151008,1
Ss,20151008,1
Na,20151008,1
0,20151009,1
Ss,20151009,1
Na,20151009,1
Fa,20151009,1
Yr,20151009,1
2,20151010,1
Nb,20151011,1
